site,SAMPLEID,X,Y,HEIGHT,stage
TREP,695,14.9,63,18,adult
RA,V56,138,63,,sapling
RREP,405,275.34,63.47,0.1,seedling
RREP,370,245.63,63.65,0.1,seedling
RREP,408,277.95,63.66,0.3,seedling
LA,3609,24,63.7,,adult
TREP,696,17.9,63.8,17,sapling
TRC,R324,69,64,,sapling
LA,R80,112,64,,seedling
LA,V1587,112.8,64,,sapling
LA,R63,132.4,64,,sapling
TRC,P82,87.04,64.28,,seedling
TRC,P88,87.06,64.28,,seedling
TRC,P17,87.04,64.3,,seedling
TREP,692,0.8,64.36,15,adult
RREP,417,275.77,64.36,0.1,seedling
TREP,716,59.8,64.4,28,adult
RA,W112,26.2,64.5,0.3,seedling
TRC,P18,151.75,64.5,,seedling
TRC,P45,151.8,64.5,,seedling
RREP,339,22.4,64.57,0.15,seedling
RREP,349,200.99,64.63,0.1,seedling
TRC,P10,92.45,64.65,,seedling
RREP,419,272.93,64.68,0.15,seedling
RREP,391,279.55,64.7,0.18,seedling
RREP,391,299.55,64.7,0.18,seedling
TREP,726,130,64.75,4,sapling
TRC,64E,174.69,64.96,,seedling
TRC,P52,116.35,65,,seedling
RA,O47,151,65,0.05,seedling
TRC,P29,153,65,,sapling
RREP,412,273.13,65,0.1,seedling
RREP,416,274.35,65.05,0.1,seedling
TREP,703,32.45,65.08,17,adult
RREP,404,278.84,65.16,0.16,seedling
RREP,365,210.22,65.36,0.07,seedling
RREP,407,275.51,65.37,0.5,seedling
RREP,364,210.71,65.43,0.07,seedling
TREP,700,23.94,65.45,18,adult
RREP,368,214.34,65.46,0.1,seedling
RREP,394,277.27,65.55,0.3,seedling
LA,09R,165.47,65.75,,sapling
RREP,409,276.7,65.82,0.5,seedling
RREP,373,258.75,65.88,14,adult
RREP,415,275.84,65.88,0.08,seedling
TRC,8,33.26,66.06,,seedling
RREP,348,113.83,66.29,2,sapling
RREP,367,214.61,66.32,0.1,seedling
RA,OY25,136.2,66.5,,seedling
RREP,403,277.68,66.56,0.35,seedling
RREP,401,278.81,66.7,0.16,seedling
RREP,340,26.69,66.8,0.15,seedling
TREP,728,160.75,66.8,12,adult
TREP,717,52.9,66.82,1.7,sapling
RA,W111,30.2,67,0.3,seedling
RA,F118,41.4,67,0.35,seedling
TRC,P92,114.8,67,,seedling
RREP,355,149.49,67.02,0.1,seedling
RREP,418,275.18,67.08,0.15,seedling
LA,54,155.53,67.12,,seedling
TREP,724,110.35,67.2,1.1,sapling
RREP,353,142.18,67.25,0.45,seedling
TREP,718,52.9,67.29,0.4,seedling
LA,84,43.54,67.32,,sapling
RREP,344,93.44,67.36,1,sapling
RREP,345,94.27,67.36,1,sapling
TRC,P47,114.3,67.4,,seedling
TRC,5,50.87,67.44,,seedling
LA,07R,176.78,67.48,,seedling
RREP,363,211.94,67.48,0.1,seedling
LA,R56,133.5,67.5,,seedling
RREP,397,270.26,67.68,0.4,seedling
LA,R95,133.5,67.7,,seedling
RREP,356,156.82,67.78,0.15,seedling
RREP,362,180.8,67.78,0.1,seedling
RREP,422,270.62,67.84,0.1,seedling
RA,OY53,127.38,67.87,,sapling
TRC,09E,51.18,67.89,,seedling
RREP,414,274.91,67.98,0.3,seedling
RREP,346,96.04,68.02,0.45,seedling
LA,833,143.6,68.05,,adult
RREP,360,163.86,68.17,0.1,seedling
RREP,374,257.48,68.2,0.18,seedling
TREP,721,60.52,68.28,0.4,seedling
RREP,410,279.93,68.32,0.09,seedling
RA,24,69.1,68.4,,adult
RA,W113,34.3,68.6,0.2,seedling
RREP,395,275.2,68.67,0.18,seedling
TREP,697,15.98,68.7,0.2,seedling
TRC,P77,98.6,68.82,,seedling
RREP,350,204.24,68.93,0.1,seedling
LA,2303,154.1,69.05,,adult
RREP,352,137.98,69.06,0.15,seedling
TREP,691,3.5,69.13,17,adult
RA,W117,42.7,69.2,12,adult
RREP,354,144.55,69.27,0.1,seedling
TREP,725,121.86,69.28,1,sapling
TREP,722,61.58,69.31,0.16,seedling
RREP,359,162.66,69.41,0.1,seedling
RREP,375,269.51,69.45,1,sapling
RREP,377,269.9,69.57,0.1,seedling
LA,R69,66.3,69.6,,seedling
RREP,406,270.93,69.6,0.1,seedling
RREP,398,272.24,69.64,0.15,seedling
LA,V1847,132.2,69.7,,sapling
TRC,P51,61.95,69.75,,seedling
RREP,343,89.23,69.76,0.6,seedling
TREP,690,0.07,69.78,0.12,seedling
RREP,351,134.22,69.78,0.06,seedling
TRC,62E,178.23,69.8,,seedling
TRC,P79,61.2,70,,seedling
RREP,342,84.4,70,0.1,seedling
RREP,347,107.85,70,0.55,seedling
RA,O52,157,70,8.5,adult
RA,T16,81.43,70.07,,sapling
TREP,731,9.95,70.2,0.1,seedling
TREP,768,149.8,70.26,5.6,sapling
LA,R55,84.9,70.3,,seedling
RREP,411,111.68,70.39,0.1,seedling
TREP,743,61.71,70.46,0.1,seedling
TREP,764,125.25,70.5,0.7,seedling
TREP,765,129.7,70.6,0.18,seedling
LA,08R,159.36,70.62,,sapling
TRC,9,51.69,70.72,,seedling
LA,V1317,107.1,70.8,,sapling
TREP,773,183.64,70.82,0.06,seedling
TREP,769,155.65,70.85,0.09,seedling
TREP,752,93.56,70.95,0.51,seedling
TREP,770,156.14,71.02,0.1,seedling
TRC,63E,173.03,71.05,,seedling
RREP,413,134.38,71.21,0.1,seedling
RA,V631,70,71.3,,sapling
TREP,754,107.61,71.45,0.09,seedling
RREP,399,26.5,71.46,0.15,seedling
TREP,742,60.19,71.54,0.1,seedling
TRC,08E,30.63,71.57,,sapling
RREP,420,159.25,71.7,0.1,seedling
LREP,57,113.7,71.8,0.3,seedling
TREP,772,182.1,71.8,0.1,seedling
TREP,730,7.15,71.84,17,adult
LA,27R,32.51,71.85,,sapling
TREP,740,30.3,71.86,0.1,seedling
RREP,423,281.62,71.92,0.16,seedling
TREP,756,117.36,72.05,2.9,sapling
TREP,753,103.95,72.2,11,sapling
RREP,400,41.1,72.22,0.1,seedling
LA,86,32.69,72.36,,seedling
LA,85,39.12,72.38,,seedling
TREP,746,67.2,72.4,3.8,sapling
LA,87,34.15,72.55,,seedling
RREP,421,162.38,72.79,0.1,seedling
RA,W114,33.6,72.8,0.4,seedling
TRC,P97,102.07,72.8,,seedling
TRC,P50,67.4,73,,seedling
RA,O40,164,73,4.5,sapling
TREP,747,71.8,73.1,23,adult
LA,R30,100.98,73.1,,seedling
TREP,766,126.49,73.38,2.6,sapling
TREP,741,30.3,73.4,0.1,seedling
RA,W116,39,73.4,0.45,seedling
RREP,405,85.34,73.47,0.1,seedling
TREP,737,31.88,73.56,15.5,adult
RREP,408,107.95,73.66,0.3,seedling
TREP,733,21.1,73.75,0.06,seedling
LA,28R,29.99,73.88,,sapling
RA,O73,162.5,74,0.09,seedling
LA,R20,71.7,74.3,,seedling
RREP,417,155.77,74.36,0.1,seedling
RA,F115,33.5,74.4,0.5,seedling
TRC,2042,49.7,74.5,,adult
TREP,734,20.67,74.64,0.11,seedling
RREP,419,152.93,74.68,0.15,seedling
TRC,P67,74.2,74.8,,seedling
TREP,748,91.84,74.84,3.6,sapling
TRC,P5,80.15,74.85,,seedling
LA,R18,94.9,74.9,,sapling
TRC,61E,150.99,74.99,,seedling
RREP,412,113.13,75,0.1,seedling
RREP,416,154.35,75.05,0.1,seedling
RREP,404,88.84,75.16,0.16,seedling
TRC,P71,106.2,75.2,,seedling
RREP,407,105.51,75.37,0.5,seedling
TRC,P80,147.2,75.4,,seedling
TREP,735,20.64,75.42,0.1,seedling
TRC,P54,151.2,75.42,,seedling
TRC,P95,151.2,75.45,,seedling
RREP,394,7.27,75.55,0.3,seedling
TRC,59E,149.95,75.57,,seedling
TREP,771,174.1,75.6,20,adult
TREP,736,21.17,75.8,0.1,seedling
TRC,P73,147.7,75.8,,seedling
RREP,409,106.7,75.82,0.5,seedling
LA,29R,33.53,75.83,,sapling
RREP,415,155.84,75.88,0.08,seedling
TRC,P11,110.4,75.9,,seedling
TRC,P26,129.8,76,,seedling
RA,O65,164.4,76,0.12,seedling
TRC,P74,178.3,76,,seedling
TRC,P57,107,76.1,,seedling
TRC,Y98,121.6,76.1,,seedling
TRC,58E,152.32,76.2,,seedling
LA,56,154.38,76.25,,seedling
LA,R91,85,76.28,,seedling
TRC,112,167.56,76.43,,seedling
TREP,738,32.39,76.49,15,adult
RREP,403,87.68,76.56,0.35,seedling
TRC,Y99,60.8,76.57,,sapling
RREP,401,58.81,76.7,0.16,seedling
LA,V2970,103.9,76.7,,sapling
TRC,Y45a,64.3,76.75,,seedling
TRC,Y62,64.3,76.95,,seedling
TRC,P22,76.9,76.98,,seedling
RREP,418,155.18,77.08,0.15,seedling
RA,W106,39,77.1,0.3,seedling
RA,W105,41.6,77.1,0.3,seedling
TREP,739,33.71,77.15,11,adult
TRC,P85,150.3,77.2,,sapling
RA,OY26,117.25,77.22,,seedling
LA,R6,57.7,77.25,,sapling
TRC,Y36,62.25,77.3,,seedling
LA,88,47.92,77.32,,seedling
TRC,Y72,62.3,77.35,,seedling
RA,W107,35.5,77.4,0.2,seedling
TRC,Y97,62.3,77.4,,seedling
RA,OY22,161.4,77.5,1.5,sapling
RA,R355,161.4,77.5,,sapling
TRC,P25,73.1,77.6,,seedling
TRC,P28,73.7,77.6,,seedling
TREP,767,128.49,77.67,0.3,seedling
RREP,397,10.26,77.68,0.4,seedling
TRC,P63,127.68,77.75,,seedling
RREP,422,220.62,77.84,0.1,seedling
TRC,P9,126.75,77.85,,seedling
RREP,414,154.91,77.98,0.3,seedling
TRC,P100,99.4,78,,sapling
TRC,P44,103.4,78.1,,seedling
TRC,V4415,51.2,78.2,,sapling
LA,R84,118.9,78.25,,sapling
RREP,410,109.93,78.32,0.09,seedling
TREP,744,60.41,78.35,0.11,seedling
TREP,761,110.2,78.39,0.09,seedling
TREP,732,17.5,78.4,0.19,seedling
RA,O37,166.7,78.5,24,adult
TREP,760,110.19,78.58,0.09,seedling
LA,R99,135.6,78.6,,seedling
RREP,395,15.2,78.67,0.18,seedling
LA,R3,50.55,78.7,,seedling
TRC,P72,120.9,78.7,,seedling
TREP,759,110.22,78.8,0.09,seedling
LA,R82,76.05,78.85,,seedling
TREP,758,110.18,78.9,0.09,seedling
TREP,749,93.1,78.95,17,adult
TREP,763,110.55,78.97,0.09,seedling
TREP,750,92.72,79.08,1,sapling
TREP,762,110.5,79.1,0.09,seedling
TRC,20,27.19,79.12,,sapling
TREP,751,92.72,79.12,1,sapling
TREP,757,110.14,79.18,0.09,seedling
TREP,755,100.47,79.5,0.4,seedling
RREP,406,100.93,79.6,0.1,seedling
TREP,774,184.98,79.6,17,adult
RREP,398,22.24,79.64,0.15,seedling
TREP,745,61.65,79.64,0.13,seedling
LA,R60,54.5,79.7,,seedling
TRC,18,25.81,79.87,,seedling
TRC,19,25.55,79.99,,seedling
TREP,783,48.15,80,0.4,seedling
RA,O14,152.5,80,0.16,seedling
RA,O76,153,80,0.17,seedling
RA,O85,158.5,80,0.1,seedling
TRC,16,26.48,80.01,,seedling
TRC,12,25.44,80.08,,seedling
LA,R45b,128.6,80.15,,seedling
TREP,779,34.1,80.39,0.13,seedling
TREP,781,41.1,80.4,0.9,seedling
TREP,778,34.55,80.48,0.14,seedling
TRC,17,25.1,80.49,,seedling
TREP,787,58.9,80.52,2,sapling
TREP,793,126.49,80.62,18,adult
RA,W108,35.2,80.7,0.8,seedling
TRC,Y85,55.8,80.75,,sapling
TRC,15,25.03,80.76,,seedling
TRC,P15,146.3,80.8,,seedling
TREP,811,198,80.8,0.07,seedling
TRC,11,26.9,80.86,,seedling
TRC,13,25.05,80.9,,seedling
TREP,808,162.66,80.92,0.09,seedling
TREP,790,103.27,80.94,0.15,seedling
RA,O79,158.5,81,0.13,seedling
TRC,21,26.99,81.01,,sapling
TREP,806,166.33,81.15,0.16,seedling
TREP,807,170,81.15,0.12,seedling
TREP,791,103.49,81.2,1.1,sapling
TREP,804,153.5,81.2,18,adult
TREP,794,125.79,81.47,0.07,seedling
RA,O50,156,81.5,0.08,seedling
TREP,805,169.1,81.51,0.08,seedling
TREP,780,42.15,81.54,18,adult
TRC,P43,120.4,81.7,,seedling
TRC,10,40.07,81.73,,seedling
TRC,14,25.78,81.78,,seedling
TREP,803,156.6,81.85,0.15,seedling
TRC,P46,120.7,81.9,,seedling
RA,O87,151.5,82,0.23,seedling
LA,90,45.52,82.04,,seedling
RA,V5019,61.78,82.1,,adult
RA,V5019,61.8,82.1,,adult
TRC,P35,116.8,82.3,,seedling
TRC,22,21.44,82.49,,seedling
TRC,Y66,56.35,82.5,,seedling
LA,R28,64.6,82.68,,sapling
LA,50,152.36,82.73,,seedling
TRC,P59,143.4,82.78,,seedling
LA,89,43,82.8,,seedling
TREP,788,54.58,82.9,17,adult
LA,R10,162.3,82.9,,seedling
LA,R33,57.7,82.95,,seedling
RA,V4081,114.46,83.06,,sapling
TRC,P4,143.1,83.08,,seedling
RA,OY33,87.7,83.1,,seedling
RA,V4081,114.5,83.1,,sapling
TREP,809,161.26,83.3,9,adult
TREP,782,41.1,83.36,0.7,seedling
LA,R51,62.9,83.4,,seedling
TRC,P87,69.93,83.55,,seedling
TREP,775,19.6,83.63,4.2,sapling
LA,R85,120.3,83.8,,seedling
TRC,101,167.14,83.84,,seedling
TRC,P1,7.5,83.9,,seedling
LA,V3757,85.5,84.2,,sapling
TRC,Y70,68.1,84.3,,seedling
TRC,Y32,68.4,84.3,,seedling
TREP,795,136.15,84.33,16,adult
TREP,802,145.03,84.47,18,adult
RA,W104,42.6,84.5,0.5,seedling
TREP,810,193.36,84.78,2.4,sapling
TRC,P55,72.62,84.83,,sapling
TRC,Y35,70.83,85.1,,seedling
TREP,785,50.25,85.35,17,adult
RA,W103,48,85.5,0.5,seedling
TRC,Y79,62.8,85.5,,seedling
RA,V4411,102.3,85.5,,sapling
TRC,Y14,59.2,85.6,,seedling
TRC,Y18,53.98,85.68,,seedling
LA,49,154.75,85.72,,seedling
LA,30R,42.35,85.73,,sapling
TRC,23,34.82,85.76,,seedling
TRC,100,168.53,85.79,,seedling
LA,R37,99.25,85.85,,seedling
LA,91,31.54,86.17,,adult
RA,1716,17.7,86.3,,adult
TRC,R1112,63.9,86.3,,sapling
TREP,784,50,86.41,3.8,sapling
TRC,16E,35.71,86.57,,seedling
TRC,Y100,63.5,86.6,,seedling
RA,T3,17.8,86.65,,adult
RA,T9,17.8,86.65,25,adult
TRC,Y29,51.67,86.7,,seedling
TRC,26,33.65,86.71,,seedling
LREP,238,40.65,86.9,18,adult
TRC,R1479,93,86.9,,sapling
TRC,Y11,56.5,87.1,,seedling
TRC,Y50b,62.6,87.1,,seedling
LA,R8,80.95,87.15,,sapling
TRC,P78,132.05,87.27,,seedling
TRC,P23,132.08,87.27,,seedling
RA,V4092,111.47,87.28,,sapling
RA,V4092,111.5,87.3,,sapling
TRC,P49,132.03,87.3,,seedling
TRC,P16,132.05,87.3,,seedling
TRC,P34,119,87.4,,seedling
TREP,792,105.3,87.5,0.09,seedling
TRC,Y52,69.9,87.55,,seedling
TRC,Y76,61.8,87.6,,seedling
TRC,R1480,93,87.6,,sapling
TRC,24E,42.68,87.67,,seedling
TREP,801,147.8,87.98,0.06,seedling
TRC,R843,73,88,,sapling
LA,48,154.88,88.05,,seedling
TRC,Y31,63.1,88.2,,seedling
TRC,23E,39.55,88.29,,seedling
TRC,102,154.22,88.4,,seedling
TREP,796,141.95,88.52,0.15,seedling
TRC,99,171.34,88.54,,sapling
TRC,98,169.72,88.62,,sapling
TRC,Y65,70.68,88.79,,sapling
TREP,776,30.87,88.85,1.5,sapling
TRC,P8,38.4,89,,seedling
TREP,777,31.96,89.1,0.19,seedling
TREP,799,142.75,89.26,0.1,seedling
TRC,27,22.7,89.32,,sapling
TREP,789,60.35,89.32,17,adult
TREP,797,142.4,89.46,0.1,seedling
TREP,786,53.4,89.55,15,adult
TREP,798,142.75,89.6,0.1,seedling
TREP,774,3.29,89.66,1,sapling
TRC,22E,35.28,89.83,,seedling
LA,R25,151.3,89.9,,seedling
TREP,800,142.7,89.97,0.09,seedling
TRC,Y42,64.75,89.99,,seedling
TREP,844,113.42,90,0.41,seedling
TRC,28,33.57,90.09,,seedling
TREP,846,120.1,90.1,8,sapling
TREP,821,38.86,90.28,0.1,seedling
TRC,R580,87,90.3,,sapling
TREP,843,107.05,90.3,0.4,seedling
TRC,26E,45.68,90.37,,seedling
TREP,820,38.71,90.38,0.1,seedling
TRC,24,34.37,90.39,,seedling
TREP,854,191.1,90.4,0.1,seedling
TREP,816,33.15,90.48,0.1,seedling
TREP,827,44.64,90.48,0.06,seedling
TREP,850,156.94,90.48,0.38,seedling
TREP,817,33.62,90.5,0.1,seedling
TREP,848,150.55,90.5,0.09,seedling
TREP,853,182.9,90.5,0.1,seedling
TREP,818,36.73,90.56,0.1,seedling
TRC,Y57,43,90.6,,sapling
LA,R4,121.1,90.6,,seedling
TRC,V2984,123,90.6,,sapling
TREP,819,38.42,90.71,0.1,seedling
TREP,835,88.1,90.78,0.07,seedling
TREP,847,150.68,90.96,0.1,seedling
TREP,812,21.1,91,0.8,seedling
RA,W101,35.4,91,0.2,seedling
TREP,852,172.3,91,0.1,seedling
TREP,815,32.63,91.04,0.1,seedling
LA,R72,157.55,91.1,,seedling
TREP,836,87.62,91.11,0.1,seedling
TREP,826,41.67,91.15,0.75,seedling
TREP,828,49.16,91.16,0.09,seedling
TREP,841,101.78,91.28,0.1,seedling
LA,R45a,71.9,91.3,,sapling
TREP,840,101.42,91.32,0.1,seedling
TREP,814,24.59,91.4,0.11,seedling
TREP,851,158.32,91.49,7.5,sapling
TRC,Y44,73.4,91.5,,seedling
TRC,T20,121.6,91.6,,sapling
RA,V4437,104.36,91.65,,sapling
RA,V4437,104.4,91.7,,sapling
TREP,829,56.14,91.72,0.11,seedling
TRC,25,33.49,91.96,,seedling
TRC,Y58,51.9,91.97,,seedling
RA,V3941,117.45,92,,sapling
RA,V3941,117.5,92,,sapling
TREP,822,37.94,92.15,16.5,adult
TRC,29,33.97,92.25,,seedling
TRC,Y90,59,92.6,,seedling
LA,R54,53,92.7,,seedling
TRC,Y55,59.9,92.7,,seedling
TREP,813,23.02,92.75,0.8,seedling
RA,W102,42.6,92.77,0.25,seedling
TREP,837,89.1,92.8,3.9,sapling
TRC,P75,108.8,92.9,,sapling
TRC,10E,16.34,93.14,,seedling
TRC,15E,37.52,93.16,,seedling
RA,V3842,134.83,93.19,,sapling
TRC,146a,127,93.2,,adult
RA,V3842,134.8,93.2,,sapling
TRC,14E,37.54,93.26,,seedling
TRC,Y64,68.8,93.3,,seedling
TRC,P94,102.6,93.4,,seedling
TREP,842,102.78,93.42,5,sapling
TRC,Y19,59.75,93.55,,seedling
TREP,824,32,93.7,3.4,sapling
LA,R97,59.7,93.7,,seedling
TREP,823,36.14,93.8,15.5,adult
TRC,25E,45.31,93.83,,seedling
TRC,R584,90,94,,sapling
TRC,17E,34.91,94.07,,seedling
TRC,95,165.55,94.13,,seedling
TRC,P65,189.52,94.21,,seedling
TRC,18E,35.33,94.46,,seedling
LA,05R,185.75,94.88,,seedling
RA,O38,174,95,0.2,seedling
TRC,P69,77.45,95.15,,seedling
TRC,Y41,69.85,95.3,,seedling
TRC,21E,36.3,95.38,,seedling
LA,R57,58.6,95.55,,sapling
LREP,259,32.05,95.71,20,adult
TRC,94,163.02,95.75,,seedling
TREP,830,51.93,95.78,17,adult
TRC,20E,32.41,95.81,,seedling
LA,R90,54.4,95.95,,seedling
TRC,11E,29.19,95.97,,seedling
RA,O2,163,96,0.15,seedling
RA,V4448,100.25,96.18,,sapling
RA,V4448,100.3,96.2,,sapling
LA,R27,117.35,96.2,,sapling
TRC,19E,36.49,96.21,,seedling
LA,R641,118,96.3,,sapling
TRC,96,165.32,96.54,,seedling
TRC,P58,131.2,96.6,,seedling
TREP,834,63.25,96.67,2,sapling
RA,O24,174,96.7,0.13,seedling
TREP,825,31.65,96.75,2.2,sapling
TRC,12E,25.63,96.85,,seedling
TREP,855,193.24,97,2,sapling
TRC,97,162.96,97.14,,seedling
RA,OY47,97.25,97.15,,sapling
TRC,P93,70.85,97.25,,seedling
TRC,P84,122.1,97.25,,seedling
TRC,P64,71.6,97.5,,seedling
RA,V710,94,97.6,,sapling
TREP,839,79.5,97.83,2.1,sapling
TREP,845,118.75,97.91,0.12,seedling
RA,O54,170,98,0.27,seedling
TRC,30E,28.23,98.14,,seedling
RA,OY31,123.5,98.2,,seedling
TRC,P40,148.8,98.2,,seedling
TREP,833,65.9,98.3,0.11,seedling
TRC,13E,25.18,98.39,,seedling
RA,O25,174,98.5,0.2,seedling
TREP,838,86.62,98.75,14,adult
RA,V3967,117.18,98.8,,adult
RA,V3967,117.2,98.8,,adult
TREP,831,52.21,99,0.4,seedling
RA,V4279,109.98,99,,sapling
RA,V4279,110,99,,sapling
TRC,56E,172.84,99,,seedling
TRC,P81,72.97,99.1,,sapling
TRC,P83,74.37,99.1,,seedling
TRC,P66,138.45,99.15,,seedling
LREP,302,0,99.2,20,adult
LA,R77,50.2,99.2,,sapling
TRC,P32,136.9,99.2,,seedling
TRC,P42,95.1,99.35,,seedling
TREP,832,69.3,99.4,0.06,seedling
TRC,Y12,59.52,99.52,,seedling
LA,3540,0.9,99.6,,adult
LA,V3458,118.2,99.7,,sapling
TRC,31E,29.51,99.75,,seedling
TREP,849,151.3,99.95,0.45,seedling
TREP,880,118.95,100,2.1,sapling
TREP,876,53.4,100.1,3.2,sapling
LA,32,60.1,100.2,,sapling
LA,02R,167.76,100.22,,sapling
TREP,875,53.7,100.3,0.13,seedling
TREP,874,52.7,100.4,0.13,seedling
TRC,Y50a,92.6,100.5,,seedling
RA,O17,153,100.5,0.24,seedling
RA,O16,167,100.5,5.5,sapling
TREP,865,25.18,100.55,0.11,seedling
TREP,866,25.24,100.56,0.11,seedling
TRC,P38,121.4,100.85,,seedling
RA,V7330,138.39,101,,sapling
RA,V7330,138.4,101,,sapling
TRC,Y3,130.6,101.1,,sapling
TRC,Y26,132.1,101.1,,seedling
RA,F99,42.7,101.3,0.39,seedling
LA,37,100.9,101.31,,seedling
LA,V5176,59.5,101.35,,sapling
LA,V6153,100.2,101.57,,sapling
RA,F100,40.4,101.7,0.3,seedling
LA,97,27.67,101.82,,sapling
LA,92,47.97,101.97,,seedling
TRC,T26,39,102,,sapling
RA,OY57,49,102,,sapling
RA,OY95,49,102,1.8,sapling
TREP,879,92.8,102,5,sapling
TRC,Y82,146.1,102.1,,seedling
TRC,Y88,137.52,102.2,,seedling
TRC,Y10,137.57,102.25,,seedling
TRC,Y84,137.58,102.26,,seedling
TREP,864,20,102.42,2.8,sapling
TRC,Y45b,138.77,102.5,,seedling
LA,31,49.91,103.11,,seedling
TRC,Y17,137.07,103.45,,seedling
TREP,877,58.1,103.6,4,sapling
LA,V6680,135.8,103.9,,sapling
LA,V5695,108.3,103.95,,sapling
TRC,Y71,143.9,104.4,,seedling
TRC,Y49,138.5,104.7,,seedling
RA,W176,29.7,105,0.28,seedling
TRC,275,62.3,105,,adult
TRC,Y21,62.3,105.01,,seedling
LA,30,59.03,105.27,,sapling
RA,W177,30.7,105.3,0.52,seedling
TRC,Y13,141.5,105.31,,seedling
TRC,Y38,142.1,105.36,,seedling
TRC,Y34,143.1,105.41,,seedling
TRC,Y2,142.55,105.51,,seedling
TRC,57E,149.36,105.7,,seedling
TRC,Y75,58.59,106.1,,seedling
TRC,Y27,70.8,106.1,,seedling
TRC,32E,37.62,106.24,,seedling
RA,1684,11.9,106.3,,adult
TRC,Y40,58.59,106.4,,seedling
TRC,Y16,58.6,106.4,,seedling
TRC,Y5,75.55,106.42,,sapling
TRC,29E,34.82,106.7,,seedling
TRC,Y69,55.65,106.7,,seedling
TRC,Y92,64,106.79,,seedling
TREP,859,0,107.1,1,sapling
TREP,860,2.4,107.1,2,sapling
TREP,878,91,107.35,17,adult
TRC,89,150.11,107.46,,seedling
LA,36,80.92,107.48,,seedling
TRC,88,150.68,107.55,,seedling
TREP,870,34.1,107.56,1.4,sapling
LA,38,144.56,107.64,,sapling
TREP,868,32.1,107.83,0.1,seedling
TREP,872,42.1,107.85,9.5,adult
TREP,858,0.84,107.89,0.3,seedling
TRC,Y87,68.4,107.9,,seedling
TRC,Y60,75.3,108,,seedling
TRC,Y83,133.15,108,,seedling
TREP,857,0.34,108.14,0.15,seedling
TRC,Y6,56.45,108.15,,seedling
TREP,861,20,108.3,1.8,sapling
TRC,Y81,61.4,108.3,,seedling
TREP,873,40.1,108.31,0.11,seedling
TRC,27E,29.91,108.32,,seedling
TREP,867,32,108.38,0.09,seedling
TRC,378,138.3,108.4,,adult
TREP,881,149.1,108.45,3.1,sapling
LA,36R,34.1,108.57,,seedling
TREP,862,21.41,108.59,0.1,seedling
LA,29,51.03,108.63,,seedling
TREP,869,34.6,108.9,4.5,sapling
TREP,883,157.65,108.98,1.8,sapling
RA,O83,172,109,0.24,seedling
TRC,90,162.71,109.15,,sapling
TRC,Y59,128.9,109.32,,seedling
TREP,863,21.93,109.5,0.1,seedling
TRC,Y95,128.9,109.52,,seedling
TRC,Y9,135.25,109.62,,seedling
TREP,882,152.1,109.68,0.4,seedling
TREP,856,0.3,109.8,0.12,seedling
TRC,T27,68.05,109.83,,seedling
TREP,871,38.3,109.9,10,adult
TREP,884,167.75,110,0.2,seedling
TREP,885,168.05,110,0.1,seedling
LA,46,151.2,110.35,,seedling
LREP,145,25.1,110.42,0.11,seedling
LREP,167,32.97,110.5,0.85,seedling
LA,44,154.67,110.62,,seedling
LREP,70,13.4,110.94,0.08,seedling
LREP,79,18.81,111.05,0.35,seedling
LREP,58,30.8,111.1,0.55,seedling
RA,F98,35,111.2,0.22,seedling
LREP,101,101.08,111.2,0.3,seedling
LA,45,150.18,111.21,,seedling
RA,305,95.7,111.3,,adult
TRC,Y39,62.4,111.55,,seedling
TRC,33E,40.21,111.59,,seedling
TRC,V5109,66.3,111.6,,adult
TRC,3749,9,111.7,,adult
LREP,212,60.2,111.75,0.1,seedling
LA,93,25.67,111.83,,sapling
LREP,247,21.65,111.85,6,sapling
LREP,81,114.2,111.85,17,adult
LA,R1047,84,112.1,,sapling
TRC,28E,32.75,112.23,,seedling
TRC,Y63,63.2,112.4,,seedling
LA,V5974,127.8,112.5,,sapling
LA,94,25.11,112.7,,seedling
TRC,Y7,113.05,112.8,,sapling
LA,R1093,148.8,112.9,,sapling
RA,W96,37,113,0.5,seedling
LREP,181,42.55,113.05,0.4,seedling
LREP,226,85.85,113.15,0.17,seedling
LREP,198,40.28,113.2,0.15,seedling
LA,95,28.64,113.22,,seedling
LA,96,27.99,113.25,,seedling
TRC,Y15,103.88,113.3,,seedling
RA,F97,37.2,113.5,0.6,seedling
LA,34,73.78,113.51,,seedling
LREP,246,113.6,113.6,12,adult
TRC,Y53,142,113.8,,seedling
LA,33,69.44,113.83,,seedling
RA,O15,174.7,114,0.16,seedling
LREP,292,84.15,114.2,0.49,seedling
LREP,300,50,114.3,6,sapling
TRC,Y68a,63,114.3,,seedling
LREP,132,83.26,114.45,0.1,seedling
LREP,37,110.5,114.45,2,sapling
LREP,16,118.5,114.52,4.3,sapling
LREP,35,98.4,114.59,1.85,sapling
LREP,133,20.9,114.69,0.18,seedling
LREP,241,18.1,114.75,0.13,seedling
TRC,Y47,144.65,114.75,,seedling
TRC,Y1,131.6,114.8,,seedling
TRC,Y8,144.65,114.95,,seedling
TRC,91,163.48,114.95,,seedling
LA,V6207,102.3,115.2,,sapling
TRC,Y93,137.2,115.3,,seedling
TRC,93,163.96,115.3,,seedling
LA,R1222,71.1,115.4,,sapling
TRC,92,163.67,115.52,,seedling
LREP,13,116.39,115.7,0.7,seedling
